PM10_GRIMM,PM25_GRIMM,PM1_GRIMM,PM10_OPC_N2_1,PM25_OPC_N2_1,PM1_OPC_N2_1,PM10_OPC_N2_2,PM25_OPC_N2_2,PM1_OPC_N2_2,PM25_NOVA,PM10_NOVA,PM25_EVM7,Temperature_dht11_1,RH_dht11_1,Temperature_dht11_2,RH_dht11_2,Temperature_kestrel,RH_kestrel,Wind_Speed_KESTREL
280.94,188.05,138.47,152.7410488128,131.3979877896,107.055846956,145.889369563,129.1102869135,106.0899782683,72.7254545455,127.1727272727,367.4166666667,34,76.0555555556,36,68.4736842105,31.8111111111,79.3444444444,0.1111111111
247.67,141.5,95.91,120.5391078276,102.8593781415,83.3677657633,133.0919624778,114.479506773,94.1875109954,82.6592592593,137.9537037037,223.5,33.8823529412,76.8235294118,34.6470588235,71.5294117647,32.2833333333,78.4333333333,0
192.07,93.44,51.62,114.8004925376,95.2473030091,75.4957785355,119.467716217,92.9983127819,73.5216399922,51.0648148148,101.6907407407,238.4166666667,33.5263157895,78,34,74.2352941176,32.5166666667,76.3,0
174.24,73.31,34.3,63.1675998463,45.1735624426,32.7955225776,70.9471087456,40.8874781132,29.1040542126,24.6685185185,58.5074074074,86,33.5882352941,77.9411764706,34.4375,72.4375,32.8,74.8333333333,0
167.59,69.93,33.41,66.8750599755,48.8508283827,36.4594449997,68.145058127,43.6569299137,32.3839865292,23.7166666667,56.737037037,79.5,34,77,35.9411764706,69.2352941176,32.9583333333,74.1916666667,0
236.59,154.04,111.34,107.9776213168,92.2510867119,74.8500454426,95.4510574341,81.3944145651,66.2260329302,32.0277777778,69.2,192.0833333333,34.125,75.375,36.8235294118,66.1764705882,33.2666666667,73.625,0
184.73,99.98,61.39,149.8071105481,128.8516502381,106.8164877891,112.5077496847,98.1446854909,80.9473547617,104.8127272727,162.9036363636,221.75,35,72.375,38.6666666667,60.8,33.75,71.975,0
160.79,66.64,31.2,59.7874931759,41.6257139842,30.2913925383,64.1254381034,37.1834910466,26.5562324524,21.3296296296,54.4185185185,76.75,35,73,37.3076923077,65.0769230769,33.5,72.525,0
171.63,69.43,33.62,66.8516064812,48.0534508649,35.2339658176,59.0192904753,44.1712015937,32.5468838636,23.7388888889,61.8407407407,71.5833333333,35,72.6470588235,37,65.8235294118,33.8083333333,72.2916666667,0
138.58,64.54,29.66,56.7472613017,41.5365140279,30.425880305,52.5970649719,37.7695785971,27.5361929501,21.162962963,55.0462962963,72.0833333333,34.7333333333,72.5333333333,37,66.3529411765,33.7333333333,72.0666666667,0
162.82,76.69,42.2,73.0256741047,57.6746194363,44.6359804869,66.53863301,49.894406487,38.6011197707,25.0425925926,57.9462962963,108.3333333333,34.9375,73,37,64.8235294118,33.9583333333,71.9583333333,0
183.17,78.38,43.22,85.9929066826,59.6815549065,45.8399498883,59.9948889414,47.2340956794,36.1283214357,27.8018518519,61.912962963,119.0833333333,35,73,37,65.1111111111,34.35,70.6083333333,0
145.33,65.05,31.76,65.820057763,46.865653144,34.8999048869,59.7914973988,46.5877941356,35.2755608278,27.5509090909,58.3145454545,79.4166666667,35,72.2222222222,37.1764705882,64.4117647059,34.5916666667,69.575,0
143.59,69.55,34.67,68.0883647694,49.7773417305,37.8529113321,58.1428754594,43.4900637733,32.9251184464,24.9462962963,54.4166666667,95.5833333333,35.3529411765,70.7058823529,37.5,63.8333333333,34.7166666667,68.9583333333,0
261.27,163.89,121.08,131.4197535795,113.3364836749,93.7735909855,113.3434647455,98.5558200413,82.5843996471,57.2296296296,90.7333333333,266.1666666667,36,70.2352941176,38.2777777778,62.7777777778,34.8083333333,69.15,0
225.04,68.72,30.87,86.358393052,45.8463175156,32.5912522709,64.1966061592,40.8739328384,29.3596898317,29.3333333333,73.5055555556,74.8333333333,36,69.5882352941,38.5625,61.5,34.925,68.575,0
154.08,61.69,28.18,60.2764902617,42.4814694053,30.4369249846,55.544702318,38.1979353163,27.4698639976,21.9981481481,56.1648148148,66.8333333333,35.7894736842,70.0526315789,37.6666666667,63.3333333333,34.8166666667,68.9166666667,0
140.63,59.81,27.47,56.4468240738,41.1095821858,29.4627729654,59.7945781035,38.0567319533,27.4848292856,20.7574074074,51.5148148148,67.5833333333,34.5625,72.0625,35.4705882353,69.0588235294,34.025,70.2333333333,0
137.97,60.38,28.09,60.220369339,42.4327917099,30.766682148,59.6693276798,39.692541459,28.8954428504,21.1944444444,54.3851851852,64.4166666667,34,74.875,35.0588235294,70.7058823529,34.1,71.8916666667,0
164.06,70.72,37.47,65.0891611436,45.1339968513,33.0282372867,54.2229719162,39.8250623941,29.2106781006,23.1072727273,59.8,88.6666666667,34.7647058824,72.4117647059,37.25,65.625,35.0333333333,69.6083333333,0
150.52,62.73,31.62,80.7224724293,60.8662288189,48.015507102,59.915169211,50.9133577908,40.3706594355,29.9166666667,62.1314814815,116.3333333333,35.8125,70.3125,39.6470588235,58.4117647059,35.4416666667,67.7333333333,0
134.39,64.61,33.81,54.2354878017,39.8747528621,29.3596038818,45.7848649025,35.1982609034,26.0322360992,21.3351851852,53.6203703704,64.8333333333,36,68.5,39.6875,56.875,35.2083333333,67.3916666667,0
129.02,59.32,28.64,62.1491720676,45.9585566521,34.5782284737,50.6808294408,39.4560407751,30.1882509344,25.6666666667,59.8277777778,79.0833333333,36.375,67.625,39.1176470588,59.2941176471,35.2666666667,67.8,0
129.64,55.1,25.8,60.1783788204,39.543068409,28.5130059719,49.0860521653,33.7976047291,25.0891302894,19.6796296296,51.3703703704,55.25,37,66.1875,39.8235294118,56.8235294118,35.625,67.4666666667,0
118.26,51.92,24.67,54.8243331909,37.5785001867,27.1312604792,53.5852156246,32.6696844662,23.4729286643,19.1907407407,49.5296296296,55.1666666667,37.4705882353,64.4117647059,39,60.1764705882,35.6666666667,67.1333333333,0
134.74,56.4,28.7,65.8182095422,40.5055035485,29.5317680571,46.2263011932,32.9901749106,24.2278451359,18.8072727273,48.8981818182,63.1666666667,38,61.7777777778,38.9411764706,60.0588235294,35.7333333333,66.575,0
124.33,57.05,25.62,58.8299303055,38.5873305798,28.1167157888,47.6884059906,33.8593524297,24.8801482518,20.6685185185,47.7333333333,59.75,38.1875,61.25,39.4444444444,58.9444444444,35.9583333333,66.3416666667,0
130.1,56.84,26.77,62.2366811964,42.0009757148,31.2575293647,57.7747389475,37.3524521722,27.5201848348,20.5148148148,51.1,56,38.8333333333,60.4444444444,40.4444444444,55.4444444444,36.1833333333,65.55,0
163.09,57.52,26.13,67.6140723758,40.0895440843,29.1130051083,48.5090783063,35.325851216,25.9967869029,20.5333333333,51.2666666667,57.25,38,62.1111111111,39.5294117647,58.0588235294,36.4333333333,64.8333333333,0
143.25,57.09,27.39,63.28579308,38.6631411384,27.8067624709,55.1457532247,35.1975244946,25.5005340576,19.287037037,57.7777777778,51.8333333333,37.5294117647,63.6470588235,37.6111111111,63.4444444444,36.15,64.9833333333,0
156.24,63.52,32.44,62.5753159523,49.2006092072,37.8902201653,63.2799435784,47.8820755902,36.9996033837,27.0555555556,58.4981481481,86.4166666667,36.9375,66,36,68.7647058824,36.0083333333,65.7833333333,0
141.96,69.98,38.55,67.2804626889,50.0476358202,38.8134396871,59.9198718351,47.4554664387,36.788721309,27.5796296296,56.637037037,88.6666666667,36,67.7777777778,36,68.2352941176,35.7,66.325,0
123.72,57.1,25.66,55.4373328265,40.0969572628,28.9916819404,56.4009931353,37.5147243076,27.2136917114,21.4818181818,49.72,54.75,36,68.4705882353,36,68,35.6666666667,66.3,0.0583333333
132.27,56.25,26.26,69.7124386956,42.0645173017,30.5911698061,53.2106136746,40.2885551453,29.7393787172,21.337037037,53.8259259259,58.4166666667,36,69.0588235294,36,67.6666666667,35.4166666667,67.3833333333,0
132.45,57.72,25.58,61.9583843456,41.6932907104,29.8427283343,56.4063831129,37.7035024542,27.6744187004,21.3796296296,54.6166666667,50.6666666667,35.7058823529,69.2941176471,36,68.6315789474,35.175,67.5333333333,0
118.15,52.97,24.72,67.9217338562,40.1099600792,28.8389452696,49.4919485204,36.2883278342,26.690899905,21.3037037037,54.2388888889,53.8333333333,36.4375,67.4375,36.9411764706,66.0588235294,35.15,68.7916666667,0
123.42,54.39,24.77,58.9808123112,39.9653582573,29.1186667681,50.1070418888,35.9417498907,26.3408439424,20.4925925926,53.5574074074,55.25,37.875,64.0625,37.4444444444,64.7777777778,35.4333333333,67.275,0
120.31,53.62,24.51,61.571688652,39.4890725613,28.7167727947,52.5298001906,34.8365454954,25.7150047527,20.2074074074,49.4166666667,53.9166666667,36.4375,66.8125,35.4117647059,69.7058823529,34.9583333333,68.3583333333,0
118.17,52.28,24.29,53.3862264421,39.5011980269,28.5558346642,48.6456584931,35.524242719,25.9786275228,20.287037037,49.0555555556,54.75,36,68.2222222222,35.6111111111,70.1666666667,35.375,68.3833333333,0
125.07,52.82,25.15,57.6506919861,38.9567817688,28.4262619018,53.0993093603,36.2358537562,26.33167581,20.0963636364,51.1618181818,56,36.9333333333,65.6666666667,37.1764705882,65.9411764706,35.6333333333,67.6916666667,0
115.62,52.99,23.95,56.016048207,37.1816556594,26.9194297791,48.4067409038,33.9989322424,25.1802649498,19.5425925926,47.1092592593,54.5,38.1176470588,62.7647058824,38.3125,62.9375,35.9583333333,66.2916666667,0
116.06,50.53,23.2,48.7357068062,35.7873191834,26.1464008093,39.6183019002,32.205439504,23.8901167552,18.6907407407,46.8462962963,46.8333333333,40,56.875,40.1333333333,57.0666666667,36.5666666667,65.0083333333,0
117.43,51.84,23.43,56.0305345323,36.783604304,26.4628093508,47.6995340983,32.3181965086,23.5090933906,18.1,44.7888888889,49.9166666667,41,54.6111111111,39.1666666667,59.7222222222,36.7416666667,64.0333333333,0
113.65,50.88,23.24,53.1059224265,35.381641388,25.5794852121,40.9529650762,32.4312446301,23.7360577217,17.9981481481,45.412962963,50.9166666667,40.2857142857,55.4285714286,39.0769230769,60.3846153846,36.2333333333,64.425,0
111.03,48.74,22.96,55.438325882,35.9270146688,26.1408366097,46.9786518321,33.5841611974,24.3429372451,17.9259259259,44.8462962963,46.4166666667,38.5555555556,59.7222222222,37.5294117647,64,36.2583333333,65.4833333333,0.1166666667
115.87,47.45,22.48,54.6106289455,36.5587417058,26.6694795064,48.6774830538,33.4452112983,24.8709271375,18.387037037,49.1018518519,52.5833333333,37,64,36.1764705882,68.4705882353,35.6166666667,66.95,0
118,52.95,22.93,49.8792152405,36.3089328342,26.229434967,58.1101253032,33.383674264,24.3915135861,18.9763636364,49.6909090909,50.5,38.2777777778,61.7222222222,38.5,62.25,36.4083333333,66.425,0
130.83,49.36,23.11,55.4149580002,36.3214597702,26.1070138216,46.2780257777,33.1612060948,24.3411233802,18.4111111111,46.7462962963,51.75,40.125,56.4375,40.9473684211,55.6315789474,37.0416666667,64.2833333333,0
134.88,49.7,22.7,50.8742985196,34.940314187,25.0062210295,41.6967577405,30.967277103,22.6077885098,18.1296296296,46.6351851852,49,41.6666666667,51.7222222222,41.3888888889,54.1666666667,37.3833333333,62.5916666667,0
114.08,49.04,22.72,55.961271286,33.9031768375,24.5731684367,40.7259799733,31.1878278396,22.5709161198,17.6481481481,46.4203703704,50.4166666667,42,51,42,51.7058823529,37.4916666667,62.25,0
135.93,50.11,23.97,59.30881034,35.6319410536,25.6263204151,46.3568597681,31.0373439789,22.6267838198,18.2314814815,47.2055555556,48.75,42.5,49.7777777778,43.4117647059,49.9411764706,37.925,62.05,0
115.1,50.48,22.86,49.0973629952,34.1856604815,24.7727291584,50.0089399674,28.998151106,21.1176516589,17.7833333333,45.6555555556,50.9166666667,43.875,46.375,45.7058823529,43.8235294118,38.5666666667,60.3916666667,0
108.71,47.01,22.25,51.3856157002,34.2893920698,24.6143953424,40.8299928241,29.5665035248,21.5008483463,16.7240740741,44.2925925926,46.3333333333,43.4210526316,46.3157894737,43.9444444444,47.0555555556,38.1583333333,60.2583333333,0
100,47.81,22.24,50.6200810601,32.3817315943,23.4840733023,47.1976597309,29.6048489809,21.7619971037,16.9722222222,43.2018518519,46.0833333333,42,48.1764705882,41.4375,53.375,37.9166666667,61.5333333333,0
100.26,46.58,21.57,44.6661136852,33.1216767255,24.0922325359,37.1605819702,29.6757925669,22.0297481537,17.6181818182,42.62,43.3333333333,41.6470588235,50.5294117647,40.0666666667,56.4,37.875,61.0666666667,0
118.97,48.31,21.77,57.1449679324,33.6445778295,24.4872996682,39.1605912259,29.8984023646,22.042460291,17.8148148148,46.4314814815,45.5833333333,41,53.1052631579,39.6315789474,57.2105263158,37.05,62.5333333333,0
110.58,48.12,22.13,55.8987433911,34.5824307203,25.1304950714,45.9415926933,30.9439191818,22.4933358431,17.5537037037,46.3425925926,51.8333333333,41.6875,51.25,41,54.9375,37.55,63.0583333333,0
107.21,47.72,22.54,53.4616100087,34.9420691098,25.8662217084,36.1194379171,29.4003200531,22.0089689891,17.6407407407,47.7092592593,45.0833333333,41.1176470588,52.1764705882,39.8,57.6666666667,37.85,61.7166666667,0
106.77,46.48,21.19,48.8935078515,33.0599046283,24.4080932405,34.6913764056,29.048864028,21.6567115784,17.2666666667,44.9555555556,46.0833333333,40.1111111111,53.8888888889,38.7058823529,60.7647058824,37.6833333333,61.4916666667,0
113.36,45.75,21.2,45.0178214179,33.1168701384,24.29200236,44.8489676158,30.4946596781,22.3391038259,16.6203703704,42.3592592593,46.6666666667,40.5555555556,54.0555555556,38.6666666667,60.5333333333,38.0333333333,60.9,0
109.43,46.07,21.55,50.0101486655,33.2353184644,24.1112945781,48.220477581,29.8658220768,21.9766926765,16.2777777778,39.9722222222,44.6666666667,39.5882352941,56.1176470588,38,61.4375,37.6583333333,61.3583333333,0.025
114.94,47.25,21.41,61.7367537022,34.3738728762,25.0043176413,39.2327301923,30.1839145212,22.140677957,16.737037037,42.3537037037,47,39,58,38,62.2941176471,36.8,63.8166666667,0
105.19,48,22.78,45.830575382,34.0347543604,25.1890144348,36.6378675037,29.2359293832,21.9134965473,17.8272727273,47.7018181818,41.8333333333,40.4117647059,54.1764705882,39.9444444444,56.9444444444,37.9833333333,62.2833333333,1.425
96.83,45.71,20.96,48.7361277412,32.4010912951,23.5812723496,39.4454106723,28.5300263798,21.1184710334,16.4740740741,41.5425925926,39,41.7058823529,50.5882352941,41.2941176471,54.0588235294,38.625,60.05,0
89,43.71,20.57,51.5987416781,32.8800494854,24.1368308434,44.1217621565,28.2315112352,20.8333941698,16.4259259259,41.6685185185,41.5,41.8461538462,49.9230769231,40.1875,56.25,38.3083333333,58.8666666667,0.025
98.86,44.25,20.51,46.8401818805,32.6428840425,23.9253283607,37.3478136063,29.1750041247,21.5376284123,16.5296296296,41.4666666667,38.9166666667,41,52.7777777778,39.0625,59,37.875,60.7583333333,0
101.69,46.37,21.07,52.4953286307,33.7301472255,24.3973872321,38.0149484936,28.6310832375,21.3509334765,16.7037037037,42.5611111111,37.5833333333,40.7142857143,53.9285714286,39,60.4210526316,37.95,61.1666666667,0
93.9,44.44,20.65,48.1869934082,33.6885575612,24.5179617564,41.7819048564,28.9514297485,21.7177711487,16.1814814815,42.2351851852,41.3333333333,41.0666666667,53.4,39.7333333333,57.6,37.5916666667,61.35,0.0333333333
112.13,47.33,22.96,50.9038806491,32.5405557421,23.8380420473,39.7133078856,28.6006816415,21.0610323513,16.6222222222,44.6944444444,45.5,41.7222222222,51.1111111111,40.5294117647,55.6470588235,38.3916666667,60.7333333333,0
104.12,57.68,32.05,56.1784524918,44.1184242964,34.3760697842,46.5727815067,39.1236348994,30.5909779493,20.3092592593,47.2574074074,70.9166666667,39.8125,55.0625,38.2941176471,62,37.0916666667,61.5166666667,0
110.84,52.27,27.23,54.2850744459,43.265563647,33.4036312103,48.2792464986,38.5401215273,30.4046058655,25.1890909091,56.1727272727,57.5,38.5,58.7222222222,36.5294117647,65.7647058824,36.9416666667,63.55,0
102.28,46.05,22.5,52.812038646,38.5015357522,29.3041146222,45.7726276186,35.0431101057,27.2389009264,23.3925925926,47.8592592593,52.5,38.8235294118,58.2941176471,37.1111111111,64.7222222222,36.775,64.8666666667,0.1166666667
120.63,44.83,21.4,53.3982442968,33.844091752,24.8600199082,42.8245463901,30.1380610996,22.4293636746,16.862962963,45.4703703704,45.1666666667,40.2941176471,54.4117647059,38.8888888889,60.0555555556,37.3833333333,62.5416666667,0
101.46,44.14,21.11,47.6223155751,34.0155989703,24.8803183612,38.0429382324,30.3967636333,22.5670888564,17.3537037037,42.6111111111,45.75,41.8823529412,50.3529411765,41.8823529412,52.5882352941,38.05,61.5416666667,0
94.75,44.8,20.81,43.538807657,32.4305258857,23.808511734,39.029890958,28.4391395344,21.0064560385,16.5574074074,42.1833333333,42.3333333333,43.1111111111,47.0555555556,43.1176470588,48.7647058824,38.3916666667,59.8166666667,0
113.84,45.51,21.42,43.13007164,32.4865513908,23.9952091641,43.7734509786,28.1965716044,20.8238618215,16.4148148148,39.9333333333,43.1666666667,44.0555555556,44.5,45.6,42.8666666667,39.175,58.6583333333,0
130.9,53.99,26.05,58.4946255404,35.716679517,26.1556245018,38.3552128641,30.8048908836,23.1372379504,16.1055555556,43.15,54.6666666667,45,42.1176470588,46.4736842105,41.0526315789,39.7583333333,56.4166666667,0
117.51,49.7,23.86,45.6185228684,34.2604675293,25.8221431059,38.2340655607,29.5704972884,22.601348316,20.7296296296,47.6222222222,48.75,44.4705882353,43.1764705882,43.8823529412,47.0588235294,39.1916666667,56.3083333333,0.325
123.1,47.18,22.77,48.5624603695,33.3511313332,24.8949974908,42.8292230718,30.0934559317,22.7044875201,18.5907407407,45.3574074074,47.0833333333,42.3333333333,47.6666666667,40.2941176471,55.1764705882,38.8,58.5583333333,0.1166666667
111.25,47.52,22.64,54.4905225966,33.8996785482,24.9890008503,38.2311666152,29.53676134,21.9873151218,16.96,42.3690909091,43.5,41.2222222222,50.3333333333,39.7647058824,57.0588235294,38.7,57.9083333333,0.55
98.31,45.07,21.29,41.5779196795,31.2256470849,23.1554904264,30.8556888368,26.9146280289,20.5203567081,16.6722222222,41.2777777778,41.5833333333,41.7647058824,48.7058823529,40.5,54.6111111111,38.875,58.125,0
98.66,44.66,21.26,45.0860227346,32.0199741125,23.6153345108,40.8066970601,28.30455421,21.0443778319,16.5666666667,42.4203703704,39.4166666667,42.625,47.3125,42.4705882353,49.5294117647,39.6666666667,56.0166666667,0
129.18,47.63,23.25,55.2052190568,33.648302926,24.7748679055,45.2720359353,28.8874048345,21.6085972505,18.1240740741,42.4259259259,50.5,43,46.1111111111,43,49.0588235294,39.9333333333,54.9583333333,0
117.63,44.89,21.17,45.8272838593,31.5534024768,23.3722706901,36.7524937391,27.5471673012,20.3426448107,16.6462962963,41.6296296296,41.0833333333,43.2777777778,45.2222222222,43.375,48.625,39.5,55.575,0
99.92,42.95,20.93,50.1044623852,31.3565006256,23.2839412689,37.2156439388,26.6570534426,19.964605107,16.4018518519,40.4555555556,37.8333333333,43.5625,45.0625,43.1176470588,48.9411764706,38.9,57.1583333333,0.0416666667
116.86,42.85,20.72,43.8546279669,30.9178599119,23.0314030647,35.0613546932,25.7582205604,19.3479430255,16.2333333333,39.2592592593,37.1666666667,44,44,43.0588235294,49.4117647059,39.2083333333,57.0166666667,0.0833333333
94.54,42.16,20.28,48.9288514455,31.0517576006,22.9895997577,38.1650992076,27.3362796783,20.7167476654,16.3777777778,39.7018518519,41.9166666667,43.5555555556,45,42.7333333333,49.7333333333,38.8583333333,57.6,0.975
98.1,46.74,21.16,45.2199596829,30.8241585626,22.7703702715,39.8046094109,26.8483626422,19.9182188371,16.0055555556,35.4148148148,43.4166666667,44,44.4444444444,43.7058823529,48.1176470588,39.4083333333,57.35,2.9666666667
91.37,46.61,21.25,46.5588659399,31.287414102,23.3616776186,33.2821864022,26.5554044512,19.9736804962,16.4277777778,39.4833333333,43.75,44.5882352941,42.3529411765,44.6111111111,45.5555555556,39.5416666667,56.6333333333,0.3583333333
97.51,43.34,20.84,40.0875846863,30.1673959096,22.4297831217,31.702832222,25.6534633637,19.00469172,15.1672727273,35.1472727273,42.8333333333,46.1333333333,38.8,45,44.25,40.15,55.1833333333,0.8333333333
107.09,45.53,21.32,46.3896166484,30.007978948,22.2657162984,38.0099291801,27.625433445,20.8162300587,15.7907407407,40.1981481481,44.5,46.1333333333,38.6,44.625,45.5,40.3916666667,54.425,0
103.74,42.95,20.99,46.0729994456,30.5296665192,22.7724449158,33.7862959469,25.7940301334,19.5518759559,16,41.3888888889,37.1666666667,45.3333333333,40.4,42.3529411765,50.8235294118,40.075,54.5916666667,0.025
103.24,44.83,21.37,40.9413380093,30.4835542043,22.5690062841,33.8384555181,27.1044159995,20.7812919617,16.2037037037,39.2425925926,40.5,44.1111111111,42.6666666667,40.3333333333,55.2222222222,39.3166666667,55.4666666667,1.1333333333
124.2,44.44,21.34,43.7892280579,31.8708825429,23.2137104035,37.1497692781,26.2873898675,19.9980354309,15.9333333333,43.5277777778,40.5,44,44.2666666667,41.9411764706,52.5882352941,40.1333333333,56.4166666667,0.0333333333
92.48,44.81,21.02,42.8566371203,30.9832365513,23.5095541477,36.4924783146,26.8228082096,20.491690804,16.7074074074,39.5962962963,40.25,44.0625,44.0625,43,49.3529411765,40.5416666667,54.3916666667,1.1583333333
94.2,43.51,20.32,45.1852144003,28.6979643107,21.5967487097,33.6943829854,25.1205590566,19.1243536207,15.1462962963,33.9814814815,37.6666666667,45,40.1875,44.3333333333,45.5,40.525,53.225,1.6166666667
84.29,41.22,20.29,36.8964382172,28.5810357412,21.414289856,33.8893116713,24.8078562021,18.940920949,15.8037037037,38.337037037,42,45,40.3333333333,44,46.5,40.475,54.5583333333,0.075
89.98,43.78,22.02,50.3638478518,30.5641505718,23.1640696526,33.7775369883,26.1621681452,19.9926226139,16.4222222222,38.7259259259,45.1666666667,44.0625,42.9375,42.5625,49.5625,39.875,54.2583333333,0
168.88,110.32,86.53,45.2057183584,33.6881281535,26.0521635691,40.4041496726,31.5127381718,24.5329221838,15.2962962963,34.2537037037,156.0833333333,43.3333333333,45.1333333333,41.2941176471,53,39.4,56.4083333333,0.2
103.31,56.51,33.63,71.1888420317,52.7825762431,44.7368954553,58.9962193171,51.5382930968,44.0705158446,59.0722222222,81.5240740741,67,43.6666666667,44.5555555556,42.4444444444,50.4444444444,39.95,56.0333333333,0.5083333333
88.87,39.9,19.54,40.8712787628,28.9334711187,21.4508807238,35.3292563943,24.2346566144,18.1578727049,14.9836363636,33.0163636364,34.75,43.5294117647,44.8823529412,41.1176470588,54.0588235294,39.4833333333,55.3666666667,0.3416666667
96.88,47.79,25.88,48.4666544107,36.7139345316,28.6540179619,38.6858966616,33.1008486218,25.8300141229,18.6851851852,38.6111111111,67.0833333333,41.7692307692,48.7692307692,39.5555555556,56.9444444444,38.725,57.7666666667,1.6416666667
143.99,70.7,48.29,53.2177063437,40.8133506775,32.6647549798,53.4536420037,38.4422574885,31.4598089106,25.1018518519,46.9851851852,95.5833333333,41.4117647059,49.7647058824,40.0588235294,56.1764705882,39.4166666667,57.6416666667,2.0416666667
98.89,46.52,24.51,51.0843765861,33.9148994245,26.0864909323,40.067096037,30.1145312365,23.165103127,30.0518518519,51.4240740741,45.9166666667,43.5789473684,45.6315789474,42.9411764706,50,40.3083333333,55.6166666667,1.45
95.09,43.21,21.11,50.3351641262,29.9258721296,22.380503935,34.3324629466,26.0370056152,19.7181458791,18.4240740741,42.9796296296,42.4166666667,45.3529411765,41.2352941176,45.2,44.5333333333,41.1166666667,53.6083333333,0
91.65,42.75,20.62,46.1522014141,30.6498670578,22.9334619045,30.4263689677,25.1695021311,18.8866615295,15.6944444444,38.8962962963,39.6666666667,45.5625,39.8125,44.9333333333,44.6666666667,40.1083333333,52.9583333333,0.0916666667
